"","LOF","Mahalanobis","kMeans","ChiSq","BoxPlot","MAD","threeSigma","activeLearning","oracle","labeled"
"95","no","no","no","no","no","no","no","no","no","no"
"96","no","no","no","no","no","no","no","no","yes","no"
"97","no","no","no","no","no","no","no","no","no","no"
"98","no","no","no","no","no","no","no","no","no","no"
"99","yes","yes","yes","no","no","no","no","yes","no","yes"
"100","no","no","no","no","no","no","no","no","yes","no"
"101","yes","yes","yes","yes","no","no","no","yes","yes","yes"
"102","no","no","yes","no","no","no","no","yes","yes","no"
"103","no","no","no","no","no","no","no","no","no","no"
"104","no","no","no","no","no","no","no","no","no","no"
"105","no","no","no","no","no","no","no","yes","no","no"
"106","no","yes","yes","no","no","no","no","no","yes","no"
"107","yes","yes","yes","no","no","no","no","yes","yes","yes"
"108","no","yes","yes","no","no","no","no","no","no","no"
"109","yes","no","no","no","no","no","no","no","no","no"
"110","yes","yes","yes","yes","no","no","no","yes","no","yes"
"111","no","no","yes","no","no","no","no","yes","yes","no"
"112","no","no","yes","no","no","no","no","no","yes","no"
"113","no","no","no","no","no","no","no","yes","no","no"
"114","yes","yes","yes","no","no","no","no","yes","yes","yes"
"115","yes","yes","yes","no","no","no","no","yes","yes","yes"
"116","no","yes","no","no","no","no","no","yes","yes","no"
"117","no","no","no","no","no","no","no","no","yes","no"
"118","yes","yes","yes","no","no","yes","no","no","no","yes"
"119","yes","yes","yes","yes","no","no","no","no","yes","yes"
"120","yes","yes","yes","no","no","yes","no","no","no","no"
"121","no","no","no","no","no","no","no","yes","no","no"
"122","no","yes","yes","no","no","no","no","yes","yes","no"
"123","no","yes","yes","no","no","no","no","no","no","no"
"124","no","no","yes","no","no","no","no","yes","no","no"
"125","no","no","no","no","no","no","no","yes","yes","no"
"126","yes","yes","no","no","no","no","no","no","no","no"
"127","no","no","no","no","no","no","no","yes","no","no"
"128","no","no","no","no","no","no","no","yes","no","no"
"129","no","no","no","no","no","no","no","yes","yes","no"
"130","yes","yes","no","no","no","no","no","no","no","no"
"131","no","yes","yes","no","no","no","no","no","yes","no"
"132","yes","yes","yes","yes","no","yes","no","no","no","no"
"133","no","no","no","no","no","no","no","yes","yes","no"
"134","no","no","yes","no","no","no","no","no","no","no"
"135","yes","yes","yes","no","no","no","no","no","yes","no"
"136","no","yes","yes","no","no","no","no","no","yes","no"
"137","yes","yes","yes","no","no","no","no","yes","no","no"
"138","no","no","no","no","no","no","no","no","no","no"
"139","no","no","no","no","no","no","no","yes","yes","no"
"140","no","no","no","no","no","no","no","yes","yes","no"
"141","no","yes","no","no","no","no","no","yes","yes","no"
"142","no","yes","no","no","no","no","no","yes","yes","no"
"143","no","no","yes","no","no","no","no","yes","yes","no"
"144","no","no","no","no","no","no","no","yes","no","no"
"145","no","yes","no","yes","no","no","no","yes","no","no"
"146","no","yes","no","no","no","no","no","yes","yes","no"
"147","no","yes","yes","no","no","no","no","yes","yes","no"
"148","no","no","no","no","no","no","no","yes","yes","no"
"149","yes","yes","yes","no","no","no","no","yes","yes","no"
"150","no","no","yes","no","no","no","no","yes","no","no"
