"","LOF","Mahalanobis","kMeans","ChiSq","BoxPlot","MAD","threeSigma","activeLearning"
"115","yes","yes","yes","no","no","no","no","no"
"116","no","yes","no","no","no","no","no","yes"
"117","no","no","no","no","no","no","no","no"
"118","yes","yes","yes","no","no","yes","no","no"
"119","yes","yes","yes","yes","no","no","no","yes"
"120","yes","yes","yes","no","no","yes","no","no"
"121","no","no","no","no","no","no","no","yes"
"122","no","yes","yes","no","no","no","no","no"
"123","no","yes","yes","no","no","no","no","yes"
"124","no","no","yes","no","no","no","no","yes"
"125","no","no","no","no","no","no","no","no"
"126","yes","yes","no","no","no","no","no","no"
"127","no","no","no","no","no","no","no","yes"
"128","no","no","no","no","no","no","no","no"
"129","no","no","no","no","no","no","no","no"
"130","yes","yes","no","no","no","no","no","no"
"131","no","yes","yes","no","no","no","no","yes"
"132","yes","yes","yes","yes","no","yes","no","no"
"133","no","no","no","no","no","no","no","no"
"134","no","no","yes","no","no","no","no","no"
"135","yes","yes","yes","no","no","no","no","no"
"136","no","yes","yes","no","no","no","no","yes"
"137","yes","yes","yes","no","no","no","no","yes"
"138","no","no","no","no","no","no","no","no"
"139","no","no","no","no","no","no","no","no"
"140","no","no","no","no","no","no","no","yes"
"141","no","yes","no","no","no","no","no","yes"
"142","no","yes","no","no","no","no","no","yes"
"143","no","no","yes","no","no","no","no","no"
"144","no","no","no","no","no","no","no","no"
"145","no","yes","no","yes","no","no","no","yes"
"146","no","yes","no","no","no","no","no","yes"
"147","no","yes","yes","no","no","no","no","yes"
"148","no","no","no","no","no","no","no","yes"
"149","yes","yes","yes","no","no","no","no","yes"
"150","no","no","yes","no","no","no","no","no"
