"","LOF","Mahalanobis","kMeans","ChiSq","BoxPlot","MAD","threeSigma","activeLearning"
"113","no","no","no","no","no","no","no","yes"
"114","yes","yes","yes","no","no","no","no","no"
"115","yes","yes","yes","no","no","no","no","no"
"116","no","yes","no","no","no","no","no","no"
"117","no","no","no","no","no","no","no","yes"
"118","yes","yes","yes","no","no","yes","no","yes"
"119","yes","yes","yes","yes","no","no","no","yes"
"120","yes","yes","yes","no","no","yes","no","yes"
"121","no","no","no","no","no","no","no","yes"
"122","no","yes","yes","no","no","no","no","no"
"123","no","yes","yes","no","no","no","no","yes"
"124","no","no","yes","no","no","no","no","yes"
"125","no","no","no","no","no","no","no","yes"
"126","yes","yes","no","no","no","no","no","yes"
"127","no","no","no","no","no","no","no","yes"
"128","no","no","no","no","no","no","no","no"
"129","no","no","no","no","no","no","no","yes"
"130","yes","yes","no","no","no","no","no","yes"
"131","no","yes","yes","no","no","no","no","yes"
"132","yes","yes","yes","yes","no","yes","no","yes"
"133","no","no","no","no","no","no","no","yes"
"134","no","no","yes","no","no","no","no","yes"
"135","yes","yes","yes","no","no","no","no","yes"
"136","no","yes","yes","no","no","no","no","yes"
"137","yes","yes","yes","no","no","no","no","no"
"138","no","no","no","no","no","no","no","yes"
"139","no","no","no","no","no","no","no","no"
"140","no","no","no","no","no","no","no","yes"
"141","no","yes","no","no","no","no","no","yes"
"142","no","yes","no","no","no","no","no","yes"
"143","no","no","yes","no","no","no","no","no"
"144","no","no","no","no","no","no","no","yes"
"145","no","yes","no","yes","no","no","no","no"
"146","no","yes","no","no","no","no","no","yes"
"147","no","yes","yes","no","no","no","no","yes"
"148","no","no","no","no","no","no","no","yes"
"149","yes","yes","yes","no","no","no","no","no"
"150","no","no","yes","no","no","no","no","no"
